ⲟ,"great"
ⲉⲣⲁⲥⲙⲟⲥ,"strife, quarrel, contention"
ⲕⲏⲛⲱⲧⲏⲥ,"community (of a village or farmstead)"
ⲥⲡⲁⲧⲁⲗⲁ,"trifle, waste"
ⲯⲩⲭⲟⲟⲩⲉ,"soul (specific sense unclear)"
ⲧⲣⲟⲡⲉⲟⲛ,"monument (of victory), trophy"
ⲝⲉⲛⲓⲕⲟⲥ,"foreign, strange (attributive)"
ⲡⲟⲗⲓⲧⲏⲥ,"citizen"
ⲛⲩⲥⲁⲉⲩⲥ,"Nyssene (inhabitant of Nyssa)"
ⲉⲩⲕⲉⲣⲓⲁ,"favorable, opportune moment"
ⲡⲟⲧⲁⲙⲟⲥ,"river"
ⲅⲣⲁⲫⲉⲩⲥ,"scribe"
ⲓⲥⲧⲟⲣⲓⲁ,"account, story, explanation"
ϩⲩⲥⲩⲭⲓⲁ,"quiet, silence"
ⲑⲉⲣⲁⲡⲓⲁ,"healing (spiritual; i.e., salvation)"
ⲁⲡⲓⲥⲧⲟⲥ,"faithless, unbelieving one (substantive)"
ⲕⲟⲗⲗⲓⲟⲛ,"collyrium, eye-salve"
ⲉⲝⲟⲩⲥⲓⲁ,"authority, power, right (specific sense unclear)"
ⲇⲩⲙⲟⲧⲏⲥ,"inhabitant of a town, pl. townspeople""
ϩⲩⲙⲛⲉⲩⲉ,"to sing (in praise) (object: none)"
ⲉⲛⲉⲣⲅⲉⲓ,"to work, be active, have an effect (specific sense unclear)"
ⲁⲧⲁⲕⲧⲱⲥ,"in an irregular, disorderly manner"
ⲫⲱⲛⲟⲟⲩⲉ,"term, expression"
ⲟⲭⲗⲏⲥⲓⲥ,"trouble, distress"
ⲡⲁⲣⲉⲗⲑⲉ,"to pass (object: none)"
ⲡⲉⲧⲁⲗⲟⲛ,"leaf; sheet metal, (gold)-leaf"
ϩⲉⲃⲣⲁⲓⲁ,"Hebrew woman (substantive)"
ⲕⲱⲥⲧⲱϯⲁ,"guard, watch, protection"
ⲡⲟⲣⲛⲓⲟⲛ,"brothel"
ⲉⲡⲁⲓⲛⲟⲩ,"to praise, commend s.o."
ⲇⲓⲟⲓⲕⲉⲓ,"to set up, arrange, dispose s.th."
ⲡⲁⲕⲁⲛⲟⲥ,"pagan, heathen (substantive)"
ⲁⲅⲅⲉⲗⲟⲩ,"angel (benevolent superhuman being)"
ⲓⲕⲧⲉⲣⲟⲥ,"rust, jaundice (attributive)"
ⲃⲁⲣⲙⲉⲥⲓ,"meaning unknown"
ϩⲉⲧⲁⲓⲣⲁ,"prostitute"
ⲡⲉⲧⲉⲡⲏⲡ,"hoopoe"
ⲉⲝⲉⲧⲁⲍⲉ,"to examine, scrutinise s.o."
ⲕⲁⲧⲟⲩⲗⲓ,"mallow"
ⲥⲁⲗⲡⲓⲍⲉ,"to blow, sound a trumpet (object: none)"
ⲡⲉⲗⲁⲅⲟⲥ,"open sea (i.e., remote from land)"
ⲭⲁⲗⲃⲁⲛⲏ,"galbanum, the resinous juice of all-heal (fragrance)"
ⲗⲓⲯⲁⲛⲟⲛ,"remnants, remains (of a body)"
ⲁⲓⲇⲟⲓⲟⲛ,"genitals"
ⲥⲁⲣⲟⲩⲕⲓ,"one bald on temples"
ⲉⲣⲅⲁⲥⲓⲁ,"work, labor"
ⲟⲩ(ⲉ)ⲛⲧ,"deep place, hollow place, hold (of ship)"
ⲟⲓⲕⲟⲑⲉⲛ,"from one's own assets/financial resources"
ⲑⲏⲗⲩⲕⲟⲛ,"femininity, womanhood (substantive)"
ⲙⲟⲓⲭⲉⲓⲁ,"adultery (sin)"
ⲉⲫⲟⲇⲓⲟⲛ,"travel allowance, provisions"
ⲁⲥⲕⲟⲡⲱⲥ,"heedlessly"
ϩⲏⲗⲓϭⲓⲁ,"childishness, youthful passion"
ⲕⲟⲩⲣⲥⲟⲛ,"cursus (re: the annual naval raids by the Ummayad caliphate against the Byzantine empire
ⲅⲗⲩⲡⲧⲟⲛ,"carved image (substantive)"
ⲇⲓⲁⲅⲱⲅⲏ,"way of life"
ⲙⲉⲓⲗⲓⲟⲛ,"gift"
ⲉⲕⲟⲇⲟⲙⲏ,"construction (the act of building)"
ⲙⲉⲥⲟⲧⲏⲥ,"midpoint, midsection, middle"
ⲏⲗⲓⲁⲕⲟⲛ,"sunflower"
ⲁⲥⲟϥⲡⲉⲣ,"a plant explained as bitter nut"
ⲙⲉⲗⲁⲛⲟⲥ,"black pigment; myrrh ink"
ⲯⲩⲭⲓⲕⲟⲛ,"one of a soul-like (psychic") substance; ensouled, animate one (substantive)"
ⲁⲕⲗⲏⲧⲟⲛ,"uncalled (attributive; referent: divine transcendent character)"
ⲥⲁⲧⲏⲟⲩⲧ,"mixed, composed (of incense)"
ⲁⲓⲱⲛⲓⲟⲛ,"eternal (attributive)"
ⲁⲡⲓⲥⲧⲓⲁ,"absence of trust, trustlessness"
ⲥⲓⲗⲓⲕⲟⲩ,"minium, a red pigment, red lead"
ⲉⲩⲕⲣⲁⲧⲣ,"good ruler"
ⲙⲁⲛⲧⲓⲟⲛ,"prophecy, oracle"
ⲗⲟⲩⲕⲟϫⲓ,"solidus"
ⲑⲉⲙⲓⲥⲥⲁ,"justice"
ⲅⲉⲛⲉⲧⲱⲣ,"begetter, father (of celestial entities)"
ⲇⲩⲛⲁⲧⲟⲥ,"capable, powerful, strong (substantive)"
ⲙⲉⲣⲓⲕⲟⲥ,"particular, partial thing (syntactic usage unclear; as opposed to universals)"
ⲇⲓⲁⲧⲁⲅⲏ,"order, command, direction"
ⲉⲅⲕⲗⲏⲙⲁ,"charge, accusation"
ⲑⲣⲓⲥⲕⲓⲁ,"sect, cult"
ⲫⲟⲣⲧⲓⲟⲛ,"wares, merchandise, consignment"
ⲇⲏⲙⲟⲥⲓⲁ,"publicly, in the open"
ⲥⲧⲟⲓⲭⲉⲓ,"to agree, be in accordance with s.th."
ⲁⲕⲣⲓⲃⲏⲥ,"precise, exact one; quibbler"
ⲙⲛⲧⲣⲉⲩⲉ,"to measure s.th."
ⲁⲅⲛⲱⲙⲟⲛ,"foolish, idiotic one (substantive)"
ⲇⲩⲕⲁⲛⲟⲥ,"decan (substantive)"
ⲭⲁⲓⲣⲉⲓⲛ,"greetings!"
ⲏⲝⲧⲁⲥⲓⲥ,"Vision (title of an apocalyptic work?)"
ⲫⲩⲗⲁⲅⲙⲁ,"ordinance, what is to be kept"
ⲡⲗⲏⲣⲱⲙⲁ,"fullness, abundance"
ⲁⲫⲱⲣⲓⲥⲉ,"to excommunicate s.o."
ϩⲟⲙⲟⲛⲟⲓ,"to live in harmony, to act harmoniously (object: none)"
ⲙⲁⲛϭⲁⲗⲉ,"pick, hoe"
ⲕⲧⲁⲥⲑⲁⲓ,"to acquire s.th."
ϫⲁⲣⲁⲙⲡⲟ,"a plant (with edible leaves)"
ϩⲟⲣⲁⲥⲓⲥ,"vision (the act of sight)"
ⲡⲗⲁⲧⲉⲓⲁ,"street, wide road"
ⲥⲩⲙⲫⲁⲛⲉ,"to mention s.th."
ⲅⲉϩⲉⲛⲛⲁ,"Gehenna, hell"
ⲇⲩⲛⲁⲙⲓⲥ,"power (general, or precise sense unclear)"
ⲗⲉⲩⲓⲧⲏⲥ,"Levite"
ⲉⲅⲕⲁⲗⲉⲓ,"to accuse (object: none)"
ⲁⲕⲁⲕⲓⲁⲥ,"acacia-juice (Acacia arabica)"
ⲥⲩⲙⲃⲟⲗⲏ,"symbol, sign"
ⲙⲉⲧⲟⲭⲟⲥ,"one who partakes of s.th. (object: concept)"
ⳉⲣⲏⲁⲣⲓⲧ,"unknown meaning"
ⲁⲛⲁⲧⲟⲗⲏ,"the East, the Orient"
ⲃⲟⲩⲗⲏⲙⲁ,"will, testament (substantive)"
ⲥⲧⲓⲙⲉⲱⲥ,"powdered antimony; kohl"
ⲙⲙⲁⲩⲁⲧϥ,"only, merely"
ⲉⲛⲇⲱⲝⲟⲛ,"praise, liturgy, adoration"
ⲕⲁⲑⲁⲣⲟⲥ,"pure (substantive; sense: spiritually)"
ⲭⲣⲏⲥⲙⲟⲥ,"oracle"
ⲕⲟⲩⲗⲁⲑⲉ,"kollathon, measuring vessel (inverted attributive, nominal referent)"
ⲭⲗⲉⲩⲁⲍⲉ,"to jest, scoff"
ⲇⲓⲡⲗⲟⲩⲛ,"double, twofold (attributive)"
ⲭⲁⲗⲓⲛⲟⲥ,"bridle"
ⲥⲡⲓⲛⲑⲏⲣ,"spark (of divinity)"
ⲱⲗⲩⲕⲧⲟⲥ,"that which was dug; (also:) a kind of salt"
ⲫⲩⲥⲓⲕⲟⲥ,"natural, original (inverted attributive; attributive referent)"
ⲃⲁⲥⲕⲁⲛⲉ,"to envy s.o."
ϩⲟⲣⲁⲧⲟⲛ,"visible thing, being"
ⲛⲩⲙⲫⲓⲟⲥ,"bridegroom"
ⲉⲣⲅⲁⲧⲏⲥ,"worker"
ⲕⲉⲣⲁⲥⲙⲁ,"alcoholic beverage"
ⲇⲉⲓⲡⲛⲟⲛ,"meal, dinner, supper, banquet"
ⲅⲉⲛⲟⲓⲧⲟ,"may it happen (introduces wish)"
ⲥⲉⲣⲁⲡⲓⲥ,"Serapis (the Graeco-Egyptian god)"
ⲕⲩⲣⲓⲉⲩⲉ,"to be owner (object: none)"
ⲡⲗⲁⲥⲧⲏⲥ,"moulder, modeler [theol.} (i.e., creator)"
ⲥⲓⲗⲟⲩⲕⲓ,"meaning unknown"
ⲗⲟⲅⲭⲓⲍⲉ,"to pierce, stab, impale s.o. (with a spear)"
ⲡⲉⲣⲓⲭⲣⲉ,"to anoint s.th."
ⲭⲟⲣⲏⲅⲓⲁ,"provision, providing"
ⲙⲁⲅⲁⲛⲟⲛ,"trick, artifice"
ⲁⲓⲡⲉⲛⲟⲥ,"(speech of) praise, acclaim"
ⲁⲧⲁⲕⲧⲟⲥ,"unruly, intractable, uncontrollable (attributive)"
ⲁⲓⲱⲛⲓⲟⲥ,"eternal one (substantive; epithet for God)"
ⲡⲓⲡⲉⲣⲱⲥ,"pepper"
ϩⲉⲩⲣⲉⲙⲁ,"discovery"
ⲕⲁⲑⲓⲥⲧⲁ,"to be constituted by s.th."
ⲡⲓⲣⲁⲍⲓⲛ,"to tempt s.o."
ⲇⲓⲱⲕⲧⲏⲥ,"persecutor"
ⲡⲁⲅⲁⲛⲟⲥ,"civilian (substantive)"
ⲕⲉⲇⲟⲛⲓⲁ,"neighborhood"
ⲙⲁⲅⲓⲣⲟⲥ,"butcher"
ⲉⲥⲩⲭⲁⲍⲉ,"to be silent (object: none)"
ⲁⲥⲕⲟⲡⲟⲥ,"inconsiderate, heedless (one)"
(ⲙⲥⲱⲃⲉ),"large needle"
ⲑⲉⲗⲏⲥⲓⲥ,"(act of) volition (benevolent celestial hypostasis; an aeon)"
ⲡⲉⲛⲁⲅⲓⲥ,"writing-tablet"
ⲁⲓⲥⲑⲁⲛⲉ,"to sense, have feelings (object: none)"
ⲥⲧⲟⲗⲓⲍⲉ,"to be dressed with respect to s.th. (object: one's body)"
ⲉⲡⲓⲫⲉⲣⲉ,"to move back and forth"
ⲙⲟⲩⲥⲓⲕⲉ,"box, chest"
ⲇⲓⲁⲛⲟⲓⲁ,"understanding, concord"
ⲉⲩⲗⲟⲅⲱⲥ,"Quite rightly, justly, reasonably (specific sense unclear)"
ⲥⲁⲧⲉⲉⲣⲉ,"stater"
ⲥⲱⲟⲩⲃⲉⲛ,"grass"
ⲯⲩⲭⲓⲕⲟⲥ,"of a soul-like (psychic") substance; ensouled, animate (substantive)"
ⲥⲧⲁⲩⲗⲟⲛ,"stablehand"
ⲁⲛⲧⲟⲡⲟⲥ,"mirroring being (substantive)"
ⲁⲣⲣⲏⲧⲟⲥ,"unsayable, ineffable thing, one (substantive)"
ⲕⲓⲇⲁⲣⲓⲥ,"turban"
ⲉⲛⲟⲭⲗⲉⲓ,"to bother, annoy s.o. (object: person)"
ⲇⲓⲕⲁⲓⲟⲛ,"legal claim"
ⲙⲁⲧⲉϭⲧⲉ,"army, army camp"
ϫⲓⳉⲛⲟⲟϥ,"conceive"
ⲙⲁⲗⲁⲥⲥⲉ,"to soften s.th."
ⲉⲡⲓⲛⲟⲓⲛ,"to think of/imagine s.th."
ⲑⲁⲗⲁⲥⲥⲁ,"sea, lake"
ⲁⲑⲗⲏⲧⲏⲥ,"combatant, champion (of Christ) (as epithet for martyrs)"
ⲉⲩⲫⲣⲁⲛⲉ,"to rejoice, be glad (specific sense or usage unclear)"
ⲥⲟⲩⲙⲁⲛⲓ,"sexual organs, parts"
ⲁⲛⲛⲱⲛⲛⲁ,"tax, tribute, payment"
ⲥⲕⲉⲩⲁⲍⲉ,"to prepare s.o. or s.th. (specific sense unclear)"
ϩⲁⲗⲓⲉⲩⲥ,"fisherman"
ⲡⲛⲉⲩⲙⲱⲛ,"lungs"
ⲏⲛⲓⲟⲭⲟⲥ,"driver, horseman, charioteer"
ⲥⲡⲗⲏⲗⲓⲛ,"compress, poultice (?)"
ⲥⲩⲥⲧⲓⲗⲉ,"to remove, reduce s.th."
ⲁⲛⲟⲏⲧⲟⲛ,"thoughtless, stupid (attributive)"
ϩⲣⲁⲙⲛⲟⲥ,"thorn-bush, prickly shrub"
ⲫⲁⲛⲉⲣⲟⲛ,"open, public, exoteric one (substantive)"
ⲕⲁⲥⲧⲣⲟⲛ,"fortress, stronghold (Lat. castrum)"
ⲁⲣⲛⲏⲥⲓⲥ,"denial, gainsaying"
ⲕⲁⲧⲁⲗⲩⲉ,"to be destroyed, dissolved (object: none)"
ⲕⲁⲕⲱⲥⲓⲥ,"oppression, mistreatment"
ⲁⲡⲓⲥⲧⲉⲓ,"to disbelieve, to refuse to believe to s.o."
ⲗⲉⲡⲓⲇⲟⲥ,"hammerscale; flakes that fly from copper in hammering"
ⲡⲟⲗⲉⲙⲟⲥ,"war, battle, struggle"
ⲭⲱⲣⲏⲅⲉⲓ,"to inspire, encourage s.o."
ⲁⲛⲁⲫⲟⲣⲁ,"report (an official statement of facts)"
ⲡⲟⲓⲏⲧⲏⲥ,"poet"
ϯⲁⲑⲩⲥⲓⲥ,"bodily state, condition (a state of disease)"
ⲇⲓⲇⲓⲡⲗⲁ,"didipla, double-double mark (measure for wine, twice the amount of dipla)" or, most often: the creditor in a declaration of indebtedness))"
ⲕⲉⲗⲉⲩⲙⲁ,"commandment"
ⲥⲁⲣⲕⲁⲛⲏ,"(basket made of) plait-work"
ⲟⲛⲟⲙⲁⲍⲉ,"to mention s.o. by name"
ⲥⲧⲁⲇⲓⲟⲛ,"stade, one-eigth mile (= about 192m)"
ⲡⲟⲣⲫⲩⲣⲁ,"purple robe"
ⲁⲙⲡⲟⲩⲗⲉ,"flask"
ⲡⲓⲥⲧⲉⲩⲉ,"to believe (object: unclear)"
ⲱⲫⲓⲕⲓⲟⲛ,"office"
ⲥⲏⲙⲉⲓⲟⲛ,"sign, marking, indication (abstract)"
ⲁⲕⲣⲓⲃⲱⲥ,"with all due care"
ⲁⲣⲣⲏⲧⲟⲛ,"unsayable, ineffable thing (substantive; divine)"
ⲁⲙⲉⲗⲉⲓⲁ,"indifference, negligence"
ϩⲩⲗⲓⲕⲟⲥ,"material one, one composed of matter (substantive)"
ⲉⲩⲡⲟⲣⲟⲥ,"rich/wealthy one (substantive)"
ⲡⲁⲛⲡⲏⲅⲏ,"source of all"
ⲡⲣⲟⲃⲁⲗⲉ,"to emanate, produce"
ⲁⲗⲉⲕⲧⲟⲥ,"indescribable one (substantive referent: re: divine transcendent character)"
ⲅⲉⲛⲉⲥⲓⲥ,"lot, fortune, fate"
ⲁⲣⲱⲙⲁⲧⲁ,"smells, fragrances"
ⲁⲣⲧⲩⲙⲓⲥ,"Artemis (the Greek goddess)"
ⲇⲓⲁⲃⲟⲗⲏ,"slander"
ⲟⲃⲣⲩⲍⲟⲛ,"pure (attributive; re: quality of gold coins)"
ⲥⲩⲛⲉⲥⲓⲥ,"understanding"
ⲥⲡⲟⲅⲅⲟⲥ,"sponge"
ⲕⲁⲗⲟⲩⲕⲓ,"young camel, ox"
ⲕⲁⲧⲟⲭⲟⲥ,"binding, binding-spell"
ⲙⲉⲣⲓⲙⲛⲁ,"to be anxious about s.o."
ⲡⲉⲣⲓⲇⲱⲛ,"muse"
ⲥⲱⲧⲏⲣⲓⲁ,"well-being, health"
ⲭⲣⲓⲥⲧⲟⲥ,"messiah, anointed one (of the Jewish Nation, -not- Jesus of Nazareth)"
ⲟⲩⲃⲁⲥⲧⲉ,"Bastet (goddess)"
ⲙⲟⲛⲁⲍⲉⲓ,"to live solitarily/as a monk"
ⲃⲉⲃⲁⲓⲟⲩ,"to confirm, surpport, esteem"
ϣⲁⲗⲟⲩⲕⲓ,"wasp"
ⲗⲁⲕⲧⲓⲍⲉ,"to knock s.o."
ⲭⲁⲣⲟⲩⲕⲓ,"lizard"
ϩⲁⲅⲓⲁⲍⲉ,"to consecrate, sanctify s.th. (object: physical object)"
ⲭⲟⲣⲏⲅⲟⲥ,"donor, patron"
ⲗⲉⲛⲧⲓⲟⲛ,"towel, napkin"
ⲁⲛⲟⲏⲧⲟⲥ,"unintelligent, senseless, dull one (substantive)"
ⲥⲩⲛⲧⲁⲅⲏ,"pact, agreement (regarding an undertaking)"
ϩⲁⲣⲙⲟⲍⲉ,"to be put together by s.o."
ⲁⲡⲟⲛⲟⲓⲁ,"loss of right reason, madness (general, or specific sense unclear)"
ⲕⲁⲧⲁⲛⲟⲓ,"to have a look, watch, contemplate (object: none)"
ϩⲁⲣⲡⲁⲅⲏ,"theft (in the sense of fraud)"
(ⲫⲱϣⲉⲙ),"meaning unknown"
ⲫⲁⲣⲃⲁⲓⲧ,"Pharbaitos"
ⲧⲟⲗⲉⲙⲟⲛ,"cap (specific sense unclear)"
ⲡⲟⲧⲉⲣⲟⲥ,"whether (introduces disjunctive)"
ⲡⲟⲛⲏⲣⲓⲁ,"wickedness, maliciousness, spite"
ⲧⲉⲗⲉⲓⲟⲥ,"perfect (specific sense unclear)"
ⲭⲣⲏⲥⲧⲟⲥ,"benevolent, kind one (substantive)"
ⲟⲡⲧⲁⲥⲓⲁ,"sight, appearance, vision, theophany"
ⲕⲁⲡⲛⲓⲍⲉ,"to make smoke"
ϩⲩⲗⲩⲅⲓⲁ,"contemporary"
ϩⲟⲙⲓⲗⲓⲁ,"conversation, discussion"
ⲥⲕⲉⲡⲧⲉⲓ,"to consider (object: none)"
ⲕⲓⲙⲓⲛⲟⲩ,"cumin, Cuminum cyminum"
ⲥⲭⲟⲓⲛⲟⲥ,"rush, reed"
ⲥⲁⲗⲟⲩⲕⲓ,"fish (petrocephalus)"
ⲑⲉⲁⲧⲣⲟⲛ,"theatre"
ⲅⲉⲛⲛⲉⲟⲥ,"noble one (substantive)"
ⲙⲱⲗⲏⲃⲟⲩ,"lead"
ⲉⲙⲡⲟⲣⲟⲥ,"merchant"
ⲧⲉⲗⲉⲓⲟⲛ,"perfect one (substantive)"
ϩⲩⲃⲣⲓⲍⲉ,"to insult, abuse s.o."
ⲕⲁϣⲟⲩⲗⲓ,"desert fruit"
ⲧⲣⲁⲭⲟⲙⲁ,"trachoma in the eyes"
ⲇⲱⲇⲉⲕⲁⲥ,"dodecad (group of twelve)"
ⲥⲁⲣⲕⲓⲕⲏ,"fleshly one (substantive; being of a fleshly, material substance, as specifically opposed
ϩⲓⲥⲧⲟⲣⲓ,"to explain s.th."
ⲥⲩⲛⲑⲏⲕⲏ,"agreement"
ⲙⲓⲧⲁⲧⲱⲣ,"ambassador, messenger"
ⲧⲓⲙⲱⲣⲉⲓ,"to punish (object: unclear)"
ⲫⲱⲣⲓⲥⲙⲁ,"garment, dress"
ⲙⲉⲥⲓⲧⲏⲥ,"mediator (benevolent superhuman being)"
ⲉⲩⲗⲟⲅⲉⲓ,"to praise s.o. / s.th. (specific sense and object unclear)"
ϩⲟⲃⲟⲗⲟⲥ,"obol (coin)"
ⲉⲡⲓⲧⲁⲕⲏ,"command"
ⲭⲣⲩⲥⲓⲟⲛ,"piece of gold"
ϩⲏⲗⲓⲕⲓⲁ,"period, time of life"
ⲗⲟⲅⲓⲕⲟⲛ,"reason (substantive)"
ⲥⲧⲁⲩⲣⲟⲥ,"cross (specific sense unclear)"
ⲉⲩⲇⲟⲕⲉⲓ,"to consent, be pleased with (the emanation of aeons) (object: none)"
ⲃⲣⲁⲃⲓⲟⲛ,"award, prize"
ⲥⲕⲁⲣⲧⲱⲛ,"garlic"
ⲉⲑⲁⲛⲓⲟⲛ,"Athenaion, temple of Athena"
ⲥⲧⲏⲗⲗⲟⲥ,"(four) pillar(s) (that hold up the cosmos; Egyptian historiola)"
ⲉⲕⲇⲓⲕⲟⲥ,"defender (of the church, lat. defensor ecclesiae)"
ⲙⲁⲑⲏⲧⲏⲥ,"disciple, follower"
ⲭⲫⲟⲩⲣⲓⲥ,"dung beetle"
ⲁⲣⲧⲏⲣⲓⲁ,"artery"
ⲗⲓⲃⲁⲛⲟⲩ,"frankincense"
ⲥⲕⲉⲡⲁⲍⲉ,"to cover, clothe s.o./s.th. (general, or more specific sense unclear)"
ⲉⲩⲅⲉⲛⲏⲥ,"noble (belonging to the class of noblemen) (substantive)"
ⲁⲣⲛⲓⲥⲑⲉ,"to reject, deny, disown s.o."
ⲭⲣⲁⲥⲑⲁⲓ,"to use (object: unclear)"
ⲕⲁⲗⲁⲙⲫⲟ,"hill"
ϩⲓⲁⲧⲣⲟⲥ,"physician"
ⲡⲓⲛⲁⲅⲓⲥ,"writing tablet"
ⲥⲁⲧⲁⲛⲁⲥ,"Satan, Adversary (substantive)"
ⲫⲣⲓⲕⲧⲏⲥ,"a kind of resin, roasted resin"
ⲡⲉⲣⲓⲥⲧⲉ,"of common pigeon (attributive)"
ⲗⲓⲗⲟⲟϩⲉ,"bdellium"
ⲁⲣⲭⲁⲓⲟⲥ,"old, ancient one (substantive)"
ⲉⲩⲥⲉⲃⲏⲥ,"pious one (substantive)"
ⲉⲝⲁⲡⲁⲧⲁ,"deceive, beguile, deceive thoroughly"
ϩⲁⲡⲗⲟⲩⲥ,"simple, sincere (usage unclear; referent: divine transcendent character)"
ⲉⲓⲇⲱⲗⲟⲛ,"idol (substantive)"
ⲕⲁⲇⲙⲓⲁⲥ,"cadmia, calamine"
ϭⲗⲁⲛⲃⲁⲗ,"storm, thunderstorm"
ⲃⲣϭⲟⲟⲩⲧ,"chariot"
ⲫⲁⲛⲉⲣⲟⲩ,"to appear, manifest (object: none)"
ⲥⲁⲙⲉⲛϩⲏ,"after"
ⲕⲗⲏⲩⲭⲱⲛ,"must, sweet new wine"
ⲥⲕⲉⲡⲧⲓⲛ,"to examine, to check (object: reflexive)"
ⲁⲙⲓⲛⲉⲟⲛ,"Aminaion, Italian"
ϥⲟⲩⲕⲁⲥⲓ,"a fish"
ⲙⲟⲣⲥⲏⲛⲏ,"myrtle (attributive)"
ⲥⲏⲙⲁⲥⲓⲁ,"meaning, significance"
ⲉⲩⲡⲟⲣⲓⲁ,"abundance"
ⲡⲁⲓⲇⲉⲩⲉ,"to learn (a lesson)"
ⲟⲩⲣⲁⲛⲟⲥ,"heaven"
ϩⲏⲅⲉⲙⲱⲛ,"ruler, leader (specific sense unclear)"
ⲕⲛⲓⲕⲓϫⲓ,"vessel or measure for liquids"
ⲗⲁⲛⲑⲁⲛⲉ,"to be inattentive (object: none)"
ⲏⲣⲉⲙⲓⲟⲥ,"tranquil, still (re: divine transcendent character) (substantive)"
ⲥⲭⲓⲥⲧⲟⲩ,"cleft stone, a kind of shale"
ⲕⲟⲩⲙⲫⲟⲥ,"cask, barrel"
ⲁⲃⲉⲥⲧⲟⲛ,"unslaked lime"
ⲉⲩⲕⲟⲡⲟⲛ,"easy thing (substantive)"
ⲡⲁⲣⲑⲉⲛⲏ,"Virgin (benevolent celestial being; inverted attributive, nominal referent)"
ⲕⲩⲣⲓⲁⲕⲏ,"Sunday (lit.: the Lord's [day])"
ⲡⲟⲛⲏⲣⲟⲥ,"wicked, evil (person) (substantive)"
ⲉⲩⲇⲁⲝⲓⲁ,"discipline, good order"
ⲕⲉⲗⲉⲩⲓⲛ,"to command to do s.th. (object: purpose clause)"
ⲥⲫⲣⲁⲅⲓⲥ,"seal (specific sense unclear)"
ⲟⲩⲥⲁⲃⲓⲛ,"fennel"
ⲕⲓⲃⲱⲧⲟⲥ,"ark, boat (of Noah)"
ⲕⲓⲛⲁⲙⲟⲛ,"cinnamon"
ⲗⲁⲙⲡⲣⲟⲛ,"bright (attributive)"
ⲥⲕⲏⲇⲁⲗⲏ,"roll (of papyrus)"
ⲙⲟⲣⲥⲏⲛⲉ,"myrtle-tree"
ⲁⲡⲁⲓⲧⲉⲓ,"to collect/demand s.th. (object: money/fine)"
ⲡⲟⲥⲓⲇⲱⲛ,"Poseidon (the Greek god)"
ⲃⲁⲡⲧⲓⲍⲉ,"to baptize (at? in the name of?) s.o./s.th. (specific sense unclear)"
ⲁⲗⲏⲑⲉⲓⲁ,"truth (general, or specific sense unclear)"
ⲁⲕⲁⲣⲡⲟⲥ,"without fruit, barren (attributive)"
*(ⲑⲓϥⲓ),"take out, away"
ⲇⲩⲛⲁⲧⲟⲛ,"possibility, capability (substantive)"
(ⲉ)ⲙⲡⲱⲧ,"meaning unknown"
ⲉⲡⲓⲃⲟⲗⲏ,"plot(ting), scheming"
ⲝⲉⲛⲉⲓⲟⲥ,"hospitable (attributive)"
ⲥⲩⲛⲁⲝⲓⲥ,"mass, church service"
ⲉⲥⲉⲭⲁⲍⲉ,"to be at rest, to be inactive (object: none)"
ⲁⲓⲑⲣⲓⲟⲛ,"threshold, entrance area"
ⲗⲁⲕⲟⲟⲧⲉ,"a liquid measure"
ⲑⲩⲗⲓⲕⲓⲁ,"prime of life, adulthood"
ⲉⲙⲡⲉⲣⲟⲥ,"experienced person (substantive)"
ⲉⲃⲣⲓⲉⲓⲛ,"'Phrygian'"
ⲑⲩⲥⲓⲁⲍⲉ,"to sacrifice (object: none)"
ⲁⲡⲟⲥⲱⲃⲉ,"to reject s.o.('s claim)"
ⲕⲓⲛⲏⲥⲓⲥ,"movement"
ⲉⲡⲁⲣⲭⲟⲥ,"eparch, governor (of an eparchy), prefect (substantive)"
ⲡⲉⲓⲣⲁⲍⲉ,"to try, test (object: unclear)"
ⲁⲕⲣⲓⲃⲓⲁ,"exactness, precision, accuracy"
ⲉⲡⲁⲣⲭⲓⲁ,"eparchy, province led by an eparch"
ⲭⲁⲣⲁⲅⲙⲏ,"incision"
ⲧⲁⲣⲁⲥⲥⲉ,"to be troubled, disturbed (object: none)"
ⲫⲁⲛⲉⲣⲟⲥ,"open, public, exoteric one (substantive)"
ϩⲣⲁⲃⲧⲱⲥ,"staff, stave, wand"
ⲕⲟⲩⲫⲓⲍⲉ,"to remit, reduce, discount (specific sense or usage unclear)"
ⲥⲧⲁϫⲟⲩⲗ,"spider"
ⲁⲙϩⲣⲏⲣⲉ,"scarab"
ⲡⲗⲁⲥⲧⲟⲛ,"fabrication, forgery, fake"
ⲡⲣⲟⲛⲟⲓⲁ,"providence, care (divine)"
ⲧⲉⲗⲱⲛⲏⲥ,"tax-collector"
ⲁⲡⲟⲑⲏⲕⲏ,"storeroom, repository"
ⲧⲁⲛⲁϫⲓⲧ,"unknown meaning"
ⲛⲟⲙⲓⲕⲟⲛ,"law (substantive)"
ⲃⲁⲥⲁⲛⲟⲥ,"torture"
ⲙⲓⲙⲏⲥⲓⲥ,"imitation, reproduction (produced by malevolent celestial beings in the image of
ⲁⲗⲗⲁⲥⲥⲉ,"to exchange s.th. (object: physical object)"
ⲃⲗⲁⲡⲧⲉⲓ,"to damage, harm, distract (object: none)"
ⲁⲓⲛⲓⲅⲙⲁ,"riddle"
