word,translation,pronunciation
cloud,σύννεφο,s(i)ne+fo
coyote,τσακάλι,tsakh(a)li
crow,κοράκι,koR(a)ki
deer/elk/moose,ελάφι,e+l(a)fi
desert,έρημος,(e+)Rimos
dirt,χώμα,h(o)ma
shadow,σκιά,ski(a)
darkness,σκότος,sk(o)tos
dawn,αυγή,avy(i)
day,ημέρα,im(e+)Ra
daytime,ημέρα,im(e+)Ra
daydream,ονειροπόληση,oniRop(o)lisi
dog,σκύλος,sk(i)los
dove,περιστέρι,pe+Rist(e+)Ri
dusk,δύση,c+(i)si
eagle/hawk,αετός,ae+t(o)s
owl,κουκουβάγια,kukuv(a)ya
ear,αυτί,aft(i)
earth,γη,y(i)
egg,αυγό,avgh(o)
seed,σπόρος,sp(o)Ros
tadpole,γυρίνος,yiR(i)nos
plant,φυτό,fit(o)
tree,δένδρο,c+(e+)nc+Ro
bush,θάμνος,c(a)mnos
water,νερό,ne+R(o)
river,ποτάμι,pot(a)mi
elbow,αγκώνας,ag(o)nas
chip,θραύσμα,cR(a)vsma
exercise,άσκηση,(a)skisi
eye,μάτι,m(a)ti
eyelash,βλεφαρίδα,vle+faR(i)c+a
vein,φλέβα,fl(e+)va
finger,δάχτυλο,c+(a)htilo
face,πρόσωπο,pR(o)sopo
weather season,εποχή,e+poh(i)
feet,πόδια,p(o)c+ia
fire,φωτιά,foti(a)
fish,ψάρι,ps(a)Ri
flame,φλόγα,fl(o)gha
flower,λουλούδι,lul(u)c+i
fly,μύγα,m(i)gha
foot,πόδι,p(o)c+i
forest,δάσος,c+(a)sos
fruit,φρούτο,fR(u)to
gas,βενζίνη,ve+nz(i)ni
gills,βράγχια,vR(a)nhia
grass,χορτάρι,hoRt(a)Ri
gust,μπουρίνι,buR(i)ni
hail,χαλάζι,hal(a)zi
hair,μαλλιά,mali(a)
hand,χέρι,h(e+)Ri
hare,λαγός,lagh(o)s
head,κεφάλι,ke+f(a)li
tail,ουρά,uR(a)
heart,καρδιά,khaRc+i(a)
hedgehog/groundhog,σκαντζόχοιρος,skhadz(o)hiRos
hill,λόφος,l(o)fos
horizon,ορίζοντας,oR(i)zodas
ice,πάγος,p(a)ghos
lake,λίμνη,l(i)mni
land,στεριά,ste+Ri(a)
leaf,φύλλο,f(i)lo
leg,πόδι,p(o)c+i
lip,χείλος,h(i)los
lizard,σαύρα,s(a)vRa
Mars,Άρης,(a)Ris
Earth,Γη,y(i)
Venus,Αφροδίτη,afRoc+(i)ti
Saturn,Κρόνος,kR(o)nos
milky way galaxy,γαλαξίας,ghalaks(i)as
moon,φεγγάρι,feg(a)Ri
sun,ήλιος,(i)lios
star,αστέρι,ast(e+)Ri
planet,πλανήτης,plan(i)tis
metal,μέταλλο,m(e+)talo
ocean,ωκεανός,oke+an(o)s
mountain,βουνό,vun(o)
mouth,στόμα,st(o)ma
neck,λαιμός,le+m(o)s
nose,μύτη,m(i)ti
nut,ξηρός καρπός,ksiR(o)s khaRp(o)s
outer space,διάστημα,c+i(a)stima
pond,λιμνούλα,limn(u)la
rain,βροχή,vRoh(i)
road,δρόμος,c+R(o)mos
rock,πέτρα,p(e+)tRa
rodent/mouse/rat,τρωκτικό,tRoktik(o)
sand,άμμος,(a)mos
bark,γαύγισμα,gh(a)vyisma
hug,αγκαλιά,agali(a)
kiss,φιλί,fil(i)
bag,τσάντα,ts(a)da
ball,μπάλα,b(a)la
boat,καράβι,khaR(a)vi
book,βιβλίο,vivl(i)o
bottle,μπουκάλι,bukh(a)li
bowl,κύπελλο,k(i)pe+lo
box,κουτί,kut(i)
bread,ψωμί,psom(i)
bucket,κουβάς,kuv(a)s
camera,φωτογραφική μηχανή,fotoghRafik(i) mihan(i)
