AJ,𒄷𒁺,pak+du,"entrusted"
N,𒌓𒊑𒍮,parix+u,"criminal"
N,𒌓𒉣𒇻,parzilu,"iron"
N,𒉈𒆪,pilku,"demarcated zone"
N,𒋝𒀉𒌅,pik+itu,"allocation"
N,𒄫𒉡,pixanu,"box"
V,𒈜𒄷,puhu,"exchange"
N,𒃶𒋗,k+anxu,"(meaning uncertain)"
N,𒋗𒁷𒌋,k+atinu,"(a rural class)"
N,𒄫𒋢,k+irsu,"cart"
N,𒋡,k+û,"unit; flax"
AJ,𒊩𒋢,raksu,"bound"
N,𒊩𒋢,raksu,"recruit"
AJ,𒊐𒋗,rapxu,"wide"
N,𒆸𒆪,rimku,"bath"
N,𒆳𒁷𒌋,sadinu,"(a tunic)"
N,𒊬𒋼𒉡,sartenu,"chief judge"
AJ,𒋛𒀪𒊒,seʾru,"plastered"
N,𒉆𒌅,simtu,"appropriate symbol"
N,𒌓𒅗𒁇𒊒,siparu,"bronze"
N,𒋢𒁓𒄃𒇻,supurgilu,"quince"
N,𒋰𒆪,tabku,"(grain) store"
AJ,𒋺𒉡,tadnu,"given"
N,𒋻𒍮,tarx+u,"extent"
AJ,𒋫𒀪𒀪𒈬,taʾʾumu,"double"
N,𒁳𒆪,tibku,"layer"
N,𒋾,tibnu,"straw"
N,𒌀𒇻,tilu,"appendage"
N,𒁴𒈬,timu,"post"
N,𒁾𒐐,tupninu,"box"
N,𒌦𒄣,unk+u,"ring"
N,𒍑𒋗,uxu,"foundation(s)"
V,𒊻𒍮𒍮,ux+ux+u,"interrogate"
XP,𒉿𒆳𒌅,yamatu,"each"
AJ,𒍠𒄥,zak+uru,"built high"
N,𒍨𒉡,zik+nu,"beard"
N,𒍨𒁍,zik+pu,"shoot"
N,𒍨𒄥𒋥𒌋,zik+uratu,"ziggurrat"
N,𒍪𒉡,zunu,"rain"
AV,𒆳𒁖𒁕,xadak+da,"last year"
V,𒊕𒆰,xakulu,"wipe"
N,𒊩𒅎𒌅,xalimtu,"well-being"
AV,𒊩𒄮𒉌,xaluxani,"the year before last"
NU,𒊩𒋗,xalxu,"third"
N,𒉺𒅁𒇻,xaplu,"underside; bowl"
N,𒉺𒅁𒊒,xapru,"envoy"
N,𒊭𒄊𒌋,xawiru,"ring"
AJ,𒋚𒇻,xihlu,"second-rate"
N,𒆷𒊒,xikaru,"beer"
N,𒋝𒉡,xiknu,"setting"
IP,𒈫,xina,"they (f.)"
N,𒊿𒉡,xinu,"tooth; rain"
N,𒈨𒃮,xipirtu,"message"
N,𒈨𒆳𒌋,xipxatu,"(length of) wood"
N,𒋝𒇻,xik+lu,"unit"
N,𒆜𒆸,xubtu,"dwelling"
PRP,𒈽,xuh,"on the subject of"
N,𒈛𒇻,xukalu,"(a court official)"
AJ,𒋳𒊒𒍮,xumrux+u,"very painful"
AJ,𒂟𒌅,x+abtu,"seized"
N,𒉈𒀉𒌅,x+ahitu,"wish"
N,𒇡𒁍,x+arpu,"silver"
N,𒀭𒊨,x+ilu,"shade"
