word,translation,pronunciation
coyote,कोयोटी,coyooti
crow,कौआ,kawwa
deer/elk/moose,हिरन,hi'rn
desert,रेगिस्तान,raigistaan
dirt,धूल,dhuul
shadow,साया,saaya
darkness,अंधेरा,andhera
dawn,सवेरा,sawera
day,दिन,din
daytime,दिन,din
daydream,सपना,sapna
dog,कुत्ता,kutta
dove,कबूतर,kabutar
dusk,सांझ,sanjh
eagle/hawk,बाज़,baj
owl,उल्लू,ulluu
ear,कान,kaan
earth,धरती,dharti
egg,अंडा,and+a
seed,बीज,beej
tadpole,मेंढक,meend+k
plant,पौधा,paudha
tree,दरख़्त,darakh+t
bush,झाड़ी,jhar+r+i
water,पानी,pani
river,नदी,nadi
elbow,कोहनी,kohni
chip,टुकड़ा,tukr+r+a
exercise,प्रश्न,pras+han
eye,आंख,aankh
eyelash,पलकें,palkein
vein,नस,ns
finger,उंगली,ungli
face,चेहरा,txehra
weather season,मौसम,mausam
feet,पांव,paun
fire,आग,aag
fish,मछली,matxhli
flame,शोला,s+hoola
flower,फूल,phuul
fly,उड़ना,ur+r+na
foot,पैर,pair
forest,जंगल,jungal
fruit,फल,phal
gas,गैस,ges
gills,गलफड़े,galphar+r+e
grass,घास,ghans
gust,झोंका,jhonka
hail,ओले,oole
hair,बाल,bal
hand,हाथ,hath
hare,खरगोश,h+argos+h
head,सर,sar
tail,दुम,dum
heart,दिल,dil
hedgehog/groundhog,कांटेदार जंगली चूहा,kaantedar jangali txuha
hill,पहाड़ी,pahar+r+i
horizon,क्षितिज,s+hi'tij
ice,बर्फ,barf
lake,झील,jheel
land,जमीन,zamin
leaf,पत्ता,pattha
leg,टांग,tang
lip,होंठ,hont
lizard,छिपकली,txhipkali
Mars,मंगल,mangal
Earth,पृथ्वी,pirithvi
Venus,शुक्र,s+huku'r
Saturn,शनि,s+hani
milky way galaxy,आकाशगंगा,aakas+hganga
moon,चांद,txand
sun,सूरज,suraj
star,तारा,tara
planet,ग्रह,gre+h
metal,धातु,dhatu
ocean,सागर,sagar
mountain,पहाड़ी,pahar+r+i
mouth,मुंह,mun'h
neck,गरदन,gardn
nose,नाक,nak
nut,अखरोट,ah+rot
outer space,अंतरिक्ष,antaris+hik
pond,तालाब,talab
