word,translation,pronunciation
sell,விற்பனை செய்,v(i)r+tpu+nu+ixei
send,அனுப்பு,u+n(u)pu
set,அமை,u+m(u+)i
shade,நிழல்,n(i)Lu+l
share,பகிர்,p(u+)kir
sing,பாடு,paad+(u)
sit,உட்கார்,(u)tkaar
stand,நில்,n(i)l
start,தொடங்கு,cod(u+)nku
stay,தங்கு,c(u+)ngku+
step,காலடி,kaal(u+)di
think,நினை,n(i)nu+i
try,முயற்சி,muy(u+)r+ttxi
turn,திரும்பு,cir(u)mbu
understand,புரிந்துகொள்,p(u)rindukol
update,புதுப்பிப்பு,pud(u)pi
use,பயன்பாடு,p(u+)yu+npaad+u
verify,உறுதிசெய்,ur+ud+(i)xei
vibrate,அதிர்வு,u+d(i)rvu
wait,காத்திரு,kaac(i)ru
wait for,காத்திருங்கள்,kaac(i)runku+l
walk,நட,n(u+)du+
wander,அலைந்து திரி,u+l(u+)ind+uciri
want,வேண்டும்,ve+n+d(u)m
wash,கழுவுதல்,k(u+)Luvudu+l
watch,பார்,paar
wield,பிரயோகி,p(i)ru+yooki
work,வேலை,ve+l(u+)i
write,எழுது,eL(u)du
yawn,கொட்டாவி,kotaav(i)
yield,விளைச்சல்,v(i)lu+itxu+l
yield,விளைவி,vil(u+)ivi
attempt,முயற்சி,muy(u+)r+ttxi
cure,குணமாக்கு,kun(u+)maak+u
dedicate,அர்ப்பணி,u+rtp(u+)n+i
finish,முடித்து விடு,mud(i)cuvidu
harvest,அறுவடை,u+r+(u)vadu+i
roll,சுருட்டு,xur+ut+(u)
shape,வடிவம்,v(u+)divu+m
shine,பிரகாசி,p(i)rukaatxi
shop,கடை,k(u+)du+i
sleep,தூங்கு,cunk(u)
smell,வாசனை,vaaxun(u+)i
study,பயிலு,p(u+)yilu
taste,சுவை,x(u)vu+i
test,சோதனை,xud(u+)nu+i
combine,ஒருங்கிணை,or(u)nkin+u+i
evolve,பரிணாமம்,p(u+)rin+aamu+m
align,சீரமை,xeer(u+)mu+i
